url,device_key,eco_impact_score,energy_saved_kwh_per_ton_ds,co2_offset_kg_per_ton_ds,energy_saved_kwh_per_1000m3,co2_offset_kg_per_1000m3,energy_saved_kwh_per_m3_reuse,co2_offset_kg_per_m3_reuse
https://www.aqmesh.com/,"AQMesh Pod – Small Sensor Unit",0.58,"","","","","",""
https://www.clarity.io/products/node-s,"Clarity Node-S",0.60,"","","","","",""
https://www2.purpleair.com/products/purpleair-pa-ii-flex,"PurpleAir PA-II-FLEX",0.56,"","","","","",""
https://www.digi.com/products/embedded-systems/digi-xbee-gateways,"Digi XBee / IX15 Zigbee 3.0 Gateway",0.53,"","","","","",""
